CMDLINE python src/main.py
MEM 0.171875 1740998665.3183
MEM 21.953125 1740998665.4235
MEM 36.421875 1740998665.5254
MEM 47.531250 1740998665.6305
MEM 58.906250 1740998665.7356
MEM 70.156250 1740998665.8407
MEM 80.187500 1740998665.9411
MEM 84.843750 1740998666.0462
MEM 94.843750 1740998666.1513
MEM 108.984375 1740998666.2565
MEM 122.437500 1740998666.3616
MEM 133.593750 1740998666.4667
MEM 142.343750 1740998666.5718
MEM 148.593750 1740998666.6753
MEM 161.453125 1740998666.7755
MEM 164.875000 1740998666.8806
MEM 167.703125 1740998666.9857
MEM 170.828125 1740998667.0908
MEM 173.640625 1740998667.1959
MEM 178.062500 1740998667.3011
MEM 182.921875 1740998667.4061
MEM 185.531250 1740998667.5112
MEM 188.906250 1740998667.6163
MEM 192.484375 1740998667.7214
MEM 197.046875 1740998667.8265
MEM 202.031250 1740998667.9316
MEM 206.750000 1740998668.0368
MEM 210.687500 1740998668.1418
MEM 213.328125 1740998668.2469
MEM 217.875000 1740998668.3520
MEM 232.375000 1740998668.4571
MEM 256.718750 1740998668.5618
MEM 279.328125 1740998668.6671
MEM 295.031250 1740998668.7722
MEM 304.265625 1740998668.8773
MEM 315.234375 1740998668.9781
MEM 324.812500 1740998669.0833
MEM 332.125000 1740998669.1884
MEM 340.093750 1740998669.2935
MEM 349.671875 1740998669.3985
MEM 359.015625 1740998669.5037
MEM 364.296875 1740998669.6088
MEM 377.218750 1740998669.7139
MEM 386.453125 1740998669.8190
MEM 393.843750 1740998669.9241
MEM 400.921875 1740998670.0292
MEM 413.390625 1740998670.1326
MEM 417.625000 1740998670.2378
MEM 419.531250 1740998670.3429
MEM 428.062500 1740998670.4481
MEM 435.250000 1740998670.5532
MEM 440.125000 1740998670.6584
MEM 457.343750 1740998670.7635
MEM 464.265625 1740998670.8686
MEM 470.250000 1740998670.9735
MEM 474.906250 1740998671.0786
MEM 478.421875 1740998671.1837
MEM 490.046875 1740998671.2889
MEM 495.156250 1740998671.3916
MEM 501.093750 1740998671.4967
MEM 506.718750 1740998671.6018
MEM 513.500000 1740998671.7070
MEM 517.609375 1740998671.8088
MEM 525.312500 1740998671.9135
MEM 533.062500 1740998672.0172
MEM 534.531250 1740998672.1223
MEM 534.968750 1740998672.2273
MEM 535.921875 1740998672.3312
MEM 537.843750 1740998672.4363
MEM 539.671875 1740998672.5415
MEM 540.968750 1740998672.6477
MEM 541.937500 1740998672.7522
MEM 542.203125 1740998672.8571
MEM 542.390625 1740998672.9622
MEM 542.625000 1740998673.0667
MEM 542.890625 1740998673.1716
MEM 543.187500 1740998673.2762
MEM 543.484375 1740998673.3785
MEM 543.796875 1740998673.4827
MEM 544.140625 1740998673.5879
MEM 544.421875 1740998673.6928
MEM 544.812500 1740998673.7979
MEM 545.171875 1740998673.9030
MEM 545.718750 1740998674.0075
MEM 546.078125 1740998674.1087
MEM 546.406250 1740998674.2108
MEM 546.656250 1740998674.3148
MEM 546.937500 1740998674.4196
MEM 547.187500 1740998674.5247
MEM 547.421875 1740998674.6275
MEM 547.703125 1740998674.7326
MEM 548.062500 1740998674.8377
MEM 548.421875 1740998674.9400
MEM 548.828125 1740998675.0418
MEM 548.984375 1740998675.1470
MEM 549.515625 1740998675.2506
MEM 550.125000 1740998675.3558
MEM 550.765625 1740998675.4609
MEM 551.312500 1740998675.5655
MEM 551.578125 1740998675.6706
MEM 551.765625 1740998675.7757
MEM 551.937500 1740998675.8808
MEM 552.203125 1740998675.9815
MEM 552.484375 1740998676.0852
MEM 552.796875 1740998676.1903
MEM 553.296875 1740998676.2923
MEM 553.609375 1740998676.3970
MEM 554.359375 1740998676.5021
MEM 554.500000 1740998676.6073
MEM 554.562500 1740998676.7087
MEM 554.781250 1740998676.8138
MEM 554.812500 1740998676.9189
MEM 554.828125 1740998677.0240
MEM 554.984375 1740998677.1245
MEM 555.250000 1740998677.2296
MEM 555.390625 1740998677.3348
MEM 555.406250 1740998677.4399
MEM 555.468750 1740998677.5450
MEM 555.718750 1740998677.6501
MEM 556.015625 1740998677.7552
MEM 556.296875 1740998677.8586
MEM 556.609375 1740998677.9637
MEM 557.140625 1740998678.0688
MEM 557.140625 1740998678.1739
MEM 557.140625 1740998678.2745
MEM 557.296875 1740998678.3759
MEM 557.500000 1740998678.4810
MEM 557.703125 1740998678.5813
MEM 557.921875 1740998678.6864
MEM 558.156250 1740998678.7915
MEM 558.390625 1740998678.8919
MEM 558.640625 1740998678.9970
MEM 558.890625 1740998679.1021
MEM 559.093750 1740998679.2055
MEM 559.328125 1740998679.3106
MEM 559.578125 1740998679.4157
MEM 559.796875 1740998679.5208
MEM 560.000000 1740998679.6259
MEM 560.218750 1740998679.7310
MEM 560.437500 1740998679.8356
MEM 560.640625 1740998679.9408
MEM 560.875000 1740998680.0459
MEM 561.093750 1740998680.1509
MEM 561.312500 1740998680.2560
MEM 561.890625 1740998680.3598
MEM 562.156250 1740998680.4649
MEM 562.406250 1740998680.5700
MEM 562.671875 1740998680.6751
MEM 562.906250 1740998680.7802
MEM 563.125000 1740998680.8852
MEM 563.359375 1740998680.9879
MEM 563.640625 1740998681.0930
MEM 563.921875 1740998681.1981
MEM 564.171875 1740998681.3034
MEM 564.437500 1740998681.4085
MEM 564.656250 1740998681.5137
MEM 564.906250 1740998681.6188
MEM 565.171875 1740998681.7239
MEM 565.406250 1740998681.8255
MEM 565.640625 1740998681.9263
MEM 565.906250 1740998682.0314
MEM 566.156250 1740998682.1365
MEM 566.421875 1740998682.2417
MEM 566.687500 1740998682.3468
MEM 566.937500 1740998682.4520
MEM 567.203125 1740998682.5571
MEM 567.468750 1740998682.6622
MEM 567.718750 1740998682.7674
MEM 567.953125 1740998682.8724
MEM 568.187500 1740998682.9765
MEM 568.406250 1740998683.0816
MEM 568.625000 1740998683.1868
MEM 568.859375 1740998683.2919
MEM 569.093750 1740998683.3971
MEM 569.312500 1740998683.4978
MEM 569.578125 1740998683.6029
MEM 569.828125 1740998683.7033
MEM 570.078125 1740998683.8085
MEM 570.328125 1740998683.9111
MEM 570.593750 1740998684.0162
MEM 570.859375 1740998684.1212
MEM 571.125000 1740998684.2262
MEM 571.421875 1740998684.3313
MEM 571.703125 1740998684.4363
MEM 572.000000 1740998684.5414
MEM 572.578125 1740998684.6456
MEM 572.343750 1740998684.7459
MEM 579.031250 1740998684.8511
MEM 579.218750 1740998684.9562
MEM 579.500000 1740998685.0587
MEM 579.578125 1740998685.1638
MEM 579.656250 1740998685.2688
MEM 579.781250 1740998685.3739
MEM 579.875000 1740998685.4789
MEM 579.984375 1740998685.5840
